billnumber,itemname,entrydate,totalamount,suppliername,suppliercode,supplierbillnumber
GRN-1457-PH,BONE LEVER 18MM NARROW TIP HOHMANN,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,REDUCTION FORCEPS 22CM,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,UTERINE SOUND 32CM,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,TENACULAM FORCEPS 24CM,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,OXYGEN SET,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,AUTOCLAVABLE SUCTION JARS,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,LAMINECTOMY SET ASSORTED (18),02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,VACUUM REGULATOR VACUSILL 2HV PCS WITH BS PROBE,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,"VOLKMANN RETRACTOR 21,5 CM SHARP",02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,ROCH.OCHSNER HEMOSTAT.FORSEPS,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,BRUNS BONE CURETTE OVAL 23CM CURVED ,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,PROCTOSCOPE SHORT 22X50MM KELLY,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,"BONE HOLDING FORCEPS 13,5CM",02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,PROCTOSCOPE LONG 22X200MM KELLY,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,MYOMA SCREW 17CM DOYEN,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,ASPIRATION CANN 30 12Fr.19cm FRAZIER,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,RONGUER 15CM NARROW LUER,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,SPREADER 2X2 TEETH SHARP MOLLISON,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,SPREADER SHARP PRONGS MOLLISON,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,ELEVATOR DOUBLE 19CM MACDONALD,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,SEPTUM ELEVATOR SHARP/BLUNT FREER,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,"HAMMER 26,5CM 450 G =1LB",02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,"HAMMER 26,5CM 900G=2LB",02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,BONE HOOK SHARP 22CM LAMBOTTE,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,BONE HOOK SHARP 25CM LAMBOTTE,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,Tracheal dilator 14cm LABORDE,02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1457-PH,"TRACHEAL DILATOR (TROUSSEAU) 14,0CM ADULT",02-09-2019,3834,TYCHE & TALISMAN,03-1500-450,11
GRN-1424-PH,IV POLES STAINELESS STEEL,13-09-2019,4200,CROWN HEALTHCARE,03-1500-78,AD30101513
GRN-1154-PH,STETHOSCOPE PROFESSIONAL WITH 3CHEST PCS TRISTAR,22-08-2019,285000,CROWN HEALTHCARE,03-1500-78,SNV300440*
GRN-1154-PH,WEIGHING SCALE SECA 762,22-08-2019,285000,CROWN HEALTHCARE,03-1500-78,SNV300440*
GRN-1154-PH, SECA  769GIGITAL COLUMN IN  HM&BMI(200KGS),22-08-2019,285000,CROWN HEALTHCARE,03-1500-78,SNV300440*
GRN-1154-PH,IV POLES STAINELESS STEEL,22-08-2019,285000,CROWN HEALTHCARE,03-1500-78,SNV300440*
GRN-1154-PH,ECG MACHINE  BENEHERAT R12 WITH TROLLEY,22-08-2019,285000,CROWN HEALTHCARE,03-1500-78,SNV300440*
GRN-1070-PH,BAR CODE LABEL PRINTER-ZEBRA GC420,26-08-2019,33000,EXPRESS AUTOMATION,03-2000-135,MINV0000647
GRN-919-PH,WHEEL CHAIR STANDARD,19-08-2019,135000,HARLEYS LIMITED,03-1500-139,HAR/FIN/INV/SIN1907MSA32726
GRN-919-PH,VITAL SIGNS MONITOR M3,19-08-2019,135000,HARLEYS LIMITED,03-1500-139,HAR/FIN/INV/SIN1907MSA32726
GRN-918-PH,SHARP  BOX STAND STAINLESS STEEL,20-07-2019,4800,ELMAR MED-SYSTEMS ENGINEERING (K),03-1500-106,20
GRN-918-PH,ADJUSTABLE ARMLESS STOOL SCREW TYPE,20-07-2019,4800,ELMAR MED-SYSTEMS ENGINEERING (K),03-1500-106,20
GRN-918-PH,OXYGEN  HOOD,20-07-2019,4800,ELMAR MED-SYSTEMS ENGINEERING (K),03-1500-106,20
GRN-912-PH,BRANDED TENT 10X10FT SIZE,15-08-2019,57500,INK CONCEPTS,03-1500-454,5
GRN-864-PH,OXYGEN TROLLEY FOR 1.84KG,18-07-2019,21940,BOC KENYA LIMITED,03-1500-49,14178
GRN-802-PH,STATIC BIKE 125-942,02-08-2019,140000,NAIROBI SPORTS HOUSE LTD,03-1500-460,8.01191E+12
GRN-802-PH,VOLTAGE STABILIZER 140V -5028,02-08-2019,140000,NAIROBI SPORTS HOUSE LTD,03-1500-460,8.01191E+12
GRN-802-PH,WNQ TREAD MILL 125-1094,02-08-2019,140000,NAIROBI SPORTS HOUSE LTD,03-1500-460,8.01191E+12
GRN-794-PH,VISUAL OBTURATOR RESESTOSCOPE SHEATH 24/26 CHARR,01-08-2019,9600,ASHCOTT LIMITED,03-1500-22,INV0005182
GRN-794-PH,TELESCOPE CYTOSCOPE HD 12 DEGREES 302MM,01-08-2019,9600,ASHCOTT LIMITED,03-1500-22,INV0005182
GRN-794-PH,VERES INSUFFLATION NEEDLE 120MMX2MM,01-08-2019,9600,ASHCOTT LIMITED,03-1500-22,INV0005182
GRN-633-PH,SPACKMAN UTERINE CANNULA W/RUBBER CONE 37.5CM 12FG 4MM,02-08-2019,12600,ASHCOTT LIMITED,03-1500-22,INV0005172
